,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,time,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,6_precision,6_recall,6_f1-score,6_support,7_precision,7_recall,7_f1-score,7_support,time_prediction
svm,0.5834394904458599,0.5798739533897919,0.5807394753778682,0.579422603865503,785,0.5818729788785096,0.5834394904458599,0.5817881580755282,785,52.97597000000002,0.5794392523364486,0.6526315789473685,0.6138613861386139,95,0.5042735042735043,0.5363636363636364,0.5198237885462555,110,0.5368421052631579,0.53125,0.5340314136125656,96,0.6915887850467289,0.7474747474747475,0.7184466019417476,99,0.5876288659793815,0.5816326530612245,0.5846153846153846,98,0.6590909090909091,0.6105263157894737,0.633879781420765,95,0.3717948717948718,0.3258426966292135,0.3473053892215569,89,0.7083333333333334,0.6601941747572816,0.6834170854271358,103,1.606448999999884
svm_09,0.5745222929936306,0.5688126603169028,0.571894531369673,0.569396926866449,785,0.5709403393878659,0.5745222929936306,0.5718144089601097,785,14.178956000000028,0.5420560747663551,0.6105263157894737,0.5742574257425743,95,0.4954954954954955,0.5,0.4977375565610859,110,0.5909090909090909,0.5416666666666666,0.5652173913043478,96,0.6542056074766355,0.7070707070707071,0.6796116504854368,99,0.5673076923076923,0.6020408163265306,0.584158415841584,98,0.6421052631578947,0.6421052631578947,0.6421052631578947,95,0.3513513513513513,0.2921348314606741,0.3190184049079754,89,0.7070707070707071,0.6796116504854369,0.6930693069306931,103,0.5078410000000986
knn,0.5184713375796178,0.5409444350463135,0.5180982064074644,0.5020257107437232,785,0.543629234993472,0.5184713375796178,0.5030071666496239,785,0.0038119999999821,0.6862745098039216,0.3684210526315789,0.4794520547945205,95,0.66,0.3,0.4125,110,0.4516129032258064,0.5833333333333334,0.509090909090909,96,0.4814814814814814,0.7878787878787878,0.5977011494252873,99,0.5789473684210527,0.4489795918367347,0.5057471264367815,98,0.4893617021276595,0.7263157894736842,0.5847457627118644,95,0.4444444444444444,0.2696629213483146,0.3356643356643356,89,0.5354330708661418,0.6601941747572816,0.591304347826087,103,2.7583819999999832
rf,0.5528662420382165,0.5399095436961578,0.5501277910570779,0.5410100013756654,785,0.5432467060646142,0.5528662420382165,0.5440379851980183,785,6.030732,0.5670103092783505,0.5789473684210527,0.5729166666666667,95,0.5714285714285714,0.4363636363636363,0.4948453608247423,110,0.5096153846153846,0.5520833333333334,0.5299999999999999,96,0.5964912280701754,0.6868686868686869,0.6384976525821596,99,0.5371900826446281,0.6632653061224489,0.593607305936073,98,0.6145833333333334,0.6210526315789474,0.6178010471204188,95,0.3103448275862069,0.2022471910112359,0.2448979591836734,89,0.6126126126126126,0.6601941747572816,0.6355140186915887,103,0.015227999999979147
nb,0.4254777070063694,0.4281112511092348,0.4223174316779807,0.3847569516983143,785,0.433049314595941,0.4254777070063694,0.3875638787270057,785,0.0175199999999904,0.4878048780487805,0.2105263157894736,0.2941176470588235,95,0.5428571428571428,0.1727272727272727,0.2620689655172414,110,0.4864864864864865,0.375,0.4235294117647059,96,0.4183673469387755,0.8282828282828283,0.5559322033898306,99,0.5571428571428572,0.3979591836734694,0.4642857142857143,98,0.3701298701298701,0.6,0.4578313253012048,95,0.1351351351351351,0.0561797752808988,0.0793650793650793,89,0.4269662921348314,0.7378640776699029,0.5409252669039145,103,0.009848000000147294
nn,0.5630573248407643,0.5664389371700775,0.5617659597816251,0.5629053082349975,785,0.5686183217885608,0.5630573248407643,0.5646605333782513,785,55.53702800000008,0.5188679245283019,0.5789473684210527,0.5472636815920399,95,0.5137614678899083,0.509090909090909,0.5114155251141552,110,0.6049382716049383,0.5104166666666666,0.5536723163841808,96,0.6699029126213593,0.696969696969697,0.6831683168316832,99,0.5588235294117647,0.5816326530612245,0.5700000000000001,98,0.6521739130434783,0.631578947368421,0.6417112299465241,95,0.35,0.3932584269662921,0.3703703703703704,89,0.6630434782608695,0.5922330097087378,0.6256410256410256,103,0.0840779999998631
cnn,0.4280254777070064,0.4578022828388753,0.4245275659240451,0.4285853766544709,785,0.4571646236177775,0.4280254777070064,0.4306817596735375,785,1378.059416,0.7555555555555555,0.3820224719101123,0.5074626865671642,89,0.3285714285714285,0.4693877551020408,0.3865546218487395,98,0.5867768595041323,0.6513761467889908,0.6173913043478262,109,0.4363636363636363,0.5161290322580645,0.4729064039408867,93,0.4077669902912621,0.4077669902912621,0.4077669902912621,103,0.205607476635514,0.231578947368421,0.2178217821782178,95,0.4105263157894737,0.3979591836734694,0.4041450777202072,98,0.53125,0.34,0.4146341463414634,100,2.795074999999997
vgg,0.5808917197452229,0.5888696023718267,0.5794973634752116,0.5698148902319622,785,0.5891591264409923,0.5808917197452229,0.5705501521071341,785,305.5061909999995,0.6388888888888888,0.7752808988764045,0.7005076142131981,89,0.6065573770491803,0.3775510204081632,0.4654088050314465,98,0.6728971962616822,0.6605504587155964,0.6666666666666666,109,0.7125,0.6129032258064516,0.6589595375722543,93,0.5030674846625767,0.7961165048543689,0.6165413533834587,103,0.3440860215053763,0.3368421052631579,0.3404255319148936,95,0.6111111111111112,0.336734693877551,0.4342105263157894,98,0.6218487394957983,0.74,0.6757990867579908,100,4.049430000000029
multi,0.3363057324840764,0.4089709676564909,0.3394872672733149,0.3066161377463331,785,0.4118337245633567,0.3363057324840764,0.3070414022943276,785,8704.385559,0.2995594713656387,0.7640449438202247,0.430379746835443,89,0.4117647058823529,0.2142857142857142,0.2818791946308724,98,0.5454545454545454,0.5504587155963303,0.547945205479452,109,0.5490196078431373,0.3010752688172043,0.3888888888888889,93,0.2894736842105263,0.1067961165048543,0.1560283687943262,103,0.25,0.1684210526315789,0.2012578616352201,95,0.2264957264957265,0.5408163265306123,0.3192771084337349,98,0.7,0.07,0.1272727272727273,100,4.5472859999999855
